TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1596717201839	137.163666	-9.832870	-15.185918	0.981484	0.003329	0.017132	-0.190746	img_front_left_0_1596717201839153000.png
1596717202111	137.972382	-10.159531	-15.216372	0.981484	0.003329	0.017132	-0.190745	img_front_left_0_1596717202110651000.png
1596717202394	138.521149	-10.381191	-15.237041	0.981485	0.003329	0.017132	-0.190745	img_front_left_0_1596717202394225000.png
1596717202686	139.332260	-10.708847	-15.267592	0.981485	0.003329	0.017132	-0.190744	img_front_left_0_1596717202686084000.png
1596717202945	140.204529	-11.061192	-15.300444	0.981485	0.003329	0.017132	-0.190744	img_front_left_0_1596717202944599000.png
1596717203209	141.448822	-11.563828	-15.347304	0.981485	0.003329	0.017132	-0.190743	img_front_left_0_1596717203208616000.png
1596717203481	142.705444	-12.071425	-15.394629	0.981485	0.003329	0.017132	-0.190743	img_front_left_0_1596717203481059000.png
1596717203753	143.518005	-12.399648	-15.425229	0.981485	0.003329	0.017132	-0.190742	img_front_left_0_1596717203752818000.png
1596717204021	143.518005	-12.399648	-15.425229	0.979783	0.003479	0.017102	-0.199300	img_front_left_0_1596717204020648000.png
1596717204288	144.743317	-12.919648	-15.471708	0.979783	0.003479	0.017102	-0.199299	img_front_left_0_1596717204288107000.png
1596717204553	145.998871	-13.452480	-15.519336	0.979783	0.003479	0.017102	-0.199299	img_front_left_0_1596717204552772000.png
1596717204829	148.104233	-14.345957	-15.599204	0.979784	0.003479	0.017102	-0.199298	img_front_left_0_1596717204829114000.png
1596717205096	149.348526	-14.874003	-15.646406	0.979784	0.003479	0.017102	-0.199297	img_front_left_0_1596717205096102000.png
1596717205364	150.560150	-15.388184	-15.692368	0.979784	0.003479	0.017102	-0.199296	img_front_left_0_1596717205364070000.png
1596717205623	150.958145	-15.573730	-15.707700	0.976157	0.003777	0.017039	-0.216365	img_front_left_0_1596717205623010000.png
1596717205948	151.943283	-16.033007	-15.745654	0.976157	0.003777	0.017039	-0.216365	img_front_left_0_1596717205947561000.png
1596717206258	153.238663	-16.636932	-15.795561	0.976157	0.003777	0.017039	-0.216364	img_front_left_0_1596717206258257000.png
1596717206561	154.222733	-17.095703	-15.833476	0.974232	0.003925	0.017005	-0.224873	img_front_left_0_1596717206560817000.png
1596717206809	154.988907	-17.485996	-15.863501	0.972232	0.004073	0.016970	-0.233366	img_front_left_0_1596717206809306000.png
1596717207086	156.180740	-18.093124	-15.910210	0.972233	0.004073	0.016970	-0.233365	img_front_left_0_1596717207086146000.png
1596717207355	156.578140	-18.295567	-15.925786	0.972233	0.004073	0.016970	-0.233365	img_front_left_0_1596717207355009000.png
1596717207637	157.023651	-18.552715	-15.943749	0.965791	0.004516	0.016858	-0.258735	img_front_left_0_1596717207636990000.png
1596717207921	158.213058	-19.239277	-15.991709	0.965791	0.004516	0.016858	-0.258735	img_front_left_0_1596717207920774000.png
1596717208192	158.985764	-19.685312	-16.022861	0.963496	0.004663	0.016818	-0.267153	img_front_left_0_1596717208192334000.png
